"country","country_count"
"AE","5"
"Anywhere","1"
"AR","12"
"Argentina","231"
"AT","15"
"AU","15"
"Australia","710"
"Austria","85"
"Bahrain","2"
"BE","10"
"Belgium","148"
"Bolivia","8"
"Bosnia and Herzegovina","1"
"BR","13"
"Brazil","494"
"Bulgaria","34"
"CA","25"
"Canada","2389"
"CH","6"
"Chile","118"
"China","489"
"CL","12"
"CO","7"
"Colombia","212"
"Costa Rica","71"
"Cote d'Ivoire","1"
"Croatia","6"
"Cyprus","2"
"Czechia","150"
"DE","17"
"Denmark","181"
"DK","3"
"Dominican Republic","1"
"Ecuador","3"
"EE","12"
"EG","11"
"Egypt","71"
"ES","10"
"Estonia","1"
"Ethiopia","1"
"European Union","26"
"FI","8"
"Finland","99"
"FR","29"
"France","892"
"GB","76"
"Georgia","7"
"Germany","1546"
"GR","1"
"Greece","36"
"Guatemala","1"
"HK","7"
"Hong Kong","255"
"Hungary","133"
"ID","8"
"IE","11"
"IN","19"
"India","2447"
"Indonesia","147"
"Iran","2"
"Ireland","761"
"Israel","673"
"IT","15"
"Italy","397"
"Japan","731"
"JP","7"
"Kazakhstan","21"
"KE","13"
"Kenya","62"
"Kuwait","5"
"Latin America","1"
"Latvia","7"
"Lithuania","3"
"LU","12"
"Malaysia","202"
"Mexico","415"
"Morocco","1"
"MX","6"
"Netherlands","422"
"New Zealand","77"
"NG","9"
"Nigeria","34"
"NL","4"
"NO","14"
"Norway","96"
"NZ","6"
"Panama","324"
"Peru","63"
"PH","14"
"Philippines","291"
"PL","3"
"Poland","413"
"Portugal","314"
"PT","4"
"Puerto Rico","6"
"Qatar","2"
"RO","10"
"Romania","164"
"Russia","1"
"SA","2"
"Saudi Arabia","40"
"SE","14"
"Serbia","1"
"Serbia ","1"
"SG","1"
"Singapore","928"
"Slovakia","3"
"Slovenia","1"
"South Africa","95"
"South Korea","496"
"Spain","685"
"Sweden","244"
"Switzerland","235"
"Taiwan","301"
"Thailand","64"
"TR","9"
"Turkey","153"
"UA","1"
"Ukraine","75"
"United Arab Emirates","217"
"United Kingdom","3752"
"United States","29101"
"Uruguay","64"
"US","631"
"USA","5"
"UY","15"
"Uzbekistan","2"
"Venezuela","2"
"Vietnam","189"
"VN","2"
"ZA","14"
"Zimbabwe","1"
NULL,"5999"
